Code,Year,Number_yaws,polio_cases,cases_guinea_worm,Number_rabies,Number_malaria,Number_hiv,Number_tuberculosis,Number_smallpox,Number_cholera_cases
AFG,1980,,6160,0,,,,,,
AFG,1981,,5859,0,,,,,,
AFG,1982,,9730,0,,,,,,
AFG,1983,,13937,0,,,,,,
AFG,1984,,3864,0,,,,,,
AFG,1985,,13867,0,,,,,,
AFG,1986,,12901,0,,,,,,
AFG,1987,,4396,0,,,,,,
AFG,1988,,2149,0,,,,,,
AFG,1989,,385,0,,,,,,
AFG,1990,,336,0,2.145772,1219845.8,87.665596,16303.112,,
AFG,1991,,14,0,2.3209748,1132781.5,103.77359,17582.254,,
AFG,1995,,0,0,3.126361,725758.3,143.54527,22163.428,,19903
AFG,1997,,21,0,3.446122,605853.06,160.59525,23140.863,,4170
AFG,1998,,65,0,3.5570247,547045.4,164.60725,23179.447,,10000
AFG,1999,,167,0,3.607037,502898.88,168.99359,22944.182,,24639
AFG,2000,,133,0,3.6362348,491614.72,177.66675,22879.678,,4330
AFG,2001,,22,0,3.7118323,511626.2,192.51457,23330.46,,4499
AFG,2002,,11,0,3.841707,546030.6,208.17296,24148.05,,3
AFG,2003,,9,0,3.914814,574740.3,220.20476,24519.38,,41
AFG,2004,,4,0,3.9608393,601074,233.17265,24681.549,,
AFG,2005,,10,0,3.9896567,625202.75,244.33427,24736.137,,33
AFG,2006,,34,0,3.929627,605759,252.45116,24318.215,,
AFG,2007,,19,0,3.826987,540832.3,268.99326,23911.043,,
AFG,2008,,34,0,3.7016175,453018.84,282.07034,23510.375,,4384
AFG,2009,,42,0,3.568791,368269,290.23172,23083.846,,662
AFG,2010,,33,0,3.4966226,324376.8,301.3223,22966.498,,2369
AFG,2011,,90,0,3.4693305,313173.53,330.21848,23015.777,,3733
AFG,2012,,51,0,3.4304512,303789.6,459.22284,23064.814,,12
AFG,2013,,19,0,3.3869221,297651.5,525.6841,23117.854,,3957
AFG,2014,,31,0,3.3300812,294260.03,592.7875,23040.713,,45481
AFG,2015,,22,0,3.3108234,298038.5,669.6386,23044.637,,58064
AFG,2016,,14,0,3.3374228,345016.8,718.0141,23112.873,,677
AFG,2017,,16,0,3.379239,427513.62,765.24567,23483.064,,33
AFG,2018,,23,0,3.3948505,629438.06,810.9223,23930.367,,
AFG,2019,,32,0,3.387213,998712.1,849.66254,23717.326,,2
AFG,2020,,404,0,,,,,,
AGO,1980,,224,0,,,,,,
AGO,1981,,84,0,,,,,,
AGO,1982,,42,0,,,,,,
AGO,1983,,0,0,,,,,,
AGO,1984,,21,0,,,,,,
AGO,1985,,98,0,,,,,,
AGO,1986,,259,0,,,,,,
AGO,1987,,105,0,,,,,,16222
AGO,1988,,0,0,,,,,,15500
AGO,1989,,0,0,,,,,,17601
AGO,1991,,0,0,15.457628,3509191.5,3828.9988,31776.87,,8590
AGO,1992,,0,0,15.613657,3633420.5,5121.842,32864.617,,3608
AGO,1993,,1043,0,15.721999,3761338.8,6623.8984,33963.746,,
AGO,1994,,378,0,15.794446,3894744,8285.543,35081.34,,3443
AGO,1995,,1064,0,15.855254,4036519.2,10038.777,36252.2,,3295
AGO,1996,,90,0,15.808929,4185122,11805.031,37436.49,,1306
AGO,1997,,17,0,15.596138,4338616,13511.703,38623.605,,
AGO,1998,,8,0,15.278044,4495673,15092.233,39828.668,,
AGO,1999,,1224,0,14.939104,4658156,16503.838,41103.375,,
AGO,2000,,128,0,14.682077,4828811,17736.984,42523.562,,
AGO,2001,,2,0,14.48669,5013270.5,18791.828,44091.53,,
AGO,2002,,0,0,14.274555,5212388.5,19714.244,45769.617,,
AGO,2003,,0,0,14.057841,5418972,20583.143,47526.805,,
AGO,2004,,0,0,13.846846,5623625.5,21474.666,49314.883,,
AGO,2005,,11,0,13.6558,5815446,22352.492,51101.008,,0
AGO,2006,,2,0,13.443765,5747149,23393.164,52816.234,,67257
AGO,2007,,9,0,13.163569,5302657,24697.863,54433.145,,18422
AGO,2008,,32,0,12.828784,4692401.5,26164.584,55948.562,,10511
AGO,2009,,32,0,12.453303,4166695.8,27782.988,57351.56,,2019
AGO,2010,,37,0,12.063908,4021064.8,29676.906,58637.992,,1484
AGO,2011,,6,0,11.604606,4194396,31732.162,59478.727,,1810
AGO,2012,,0,0,11.039229,4403571.5,33387.836,59712.68,,1215
AGO,2013,,0,0,10.417461,4646445.5,34408.105,59642.93,,6655
AGO,2014,,0,0,9.800037,4920422,35154.387,59630.53,,213
AGO,2015,,0,0,9.250467,5221958,36338.656,60086.812,,
AGO,2016,,0,0,8.74512,5841198,38198.617,60953.48,,78
AGO,2017,,0,0,8.358166,6407805.5,40191.227,61982.406,,828
AGO,2018,,0,1,8.120007,6540698,42326.47,62715.062,,1546
AGO,2019,,153,1,7.964379,6475958,43510.58,62933.6,,
AGO,2020,,6,1,,,,,,
ALB,1980,,7,0,,,,,,
ALB,1981,,7,0,,,,,,
ALB,1982,,0,0,,,,,,
ALB,1983,,0,0,,,,,,
ALB,1984,,0,0,,,,,,
ALB,1985,,7,0,,,,,,
ALB,1986,,0,0,,,,,,
ALB,1987,,0,0,,,,,,
ALB,1988,,0,0,,,,,,
ALB,1989,,0,0,,,,,,
ALB,1990,,0,0,0.024380464,0,3.1844528,216.81024,,
ALB,1991,,7,0,0.024485007,0,3.4546475,211.27489,,
ALB,1992,,0,0,0.02434144,0,3.6710289,205.64603,,
ALB,1993,,7,0,0.024078405,0,3.7128205,200.16772,,
ALB,1994,,0,0,0.023829417,0,3.6294198,195.05692,,626
ALB,1995,,0,0,0.023583047,0,3.6543012,190.382,,
ALB,1996,,153,0,0.023025803,0,3.6918812,186.26813,,
ALB,1997,,0,0,0.02228408,0,3.6656888,187.33731,,
ALB,1998,,0,0,0.021406677,0,3.3509865,188.06995,,
ALB,1999,,0,0,0.020316478,0,3.0105524,178.31313,,
ALB,2000,,0,0,0.019605858,0,2.8395562,169.36588,,
ALB,2001,,0,0,0.018726408,0,3.0764673,164.97337,,
ALB,2002,,0,0,0.016977258,0,3.2796018,160.23256,,
ALB,2003,,0,0,0.014738346,0,3.499513,155.23741,,
ALB,2004,,0,0,0.012657572,0,3.3179362,150.11584,,
ALB,2005,,0,0,0.011491771,0,2.9770734,145.20651,,
ALB,2006,,0,0,0.011053416,0,2.705119,140.29532,,
ALB,2007,,0,0,0.0106599545,0,2.559985,135.0837,,
ALB,2008,,0,0,0.010366663,0,2.4835765,129.90475,,
ALB,2009,,0,0,0.0102469465,0,2.385676,125.13413,,
ALB,2010,,0,0,0.0103962235,0,2.3353004,121.22562,,
ALB,2011,,0,0,0.01075592,0,2.4660115,117.806366,,
ALB,2012,,0,0,0.01119073,0,2.3746042,114.17741,,
ALB,2013,,0,0,0.011662849,0,2.2445052,110.22334,,
ALB,2014,,0,0,0.012138092,0,2.4224427,106.195076,,
ALB,2015,,0,0,0.012588923,0,2.6274543,102.467834,,
ALB,2016,,0,0,0.013460109,0,2.661325,97.58413,,
ALB,2017,,0,0,0.014326912,0,2.6962876,94.34844,,
ALB,2018,,0,0,0.0145095,0,2.728043,94.39895,,
ALB,2019,,0,0,0.014224869,0,2.6898444,95.83574,,
ALB,2020,,0,0,,,,,,
AND,1999,,0,0,0.000071659604,0,3.403286,3.752964,,
AND,2000,,0,0,0.00007323388,0,3.2728791,3.6276813,,
AND,2001,,0,0,0.00007490333,0,3.2626088,3.5448394,,
AND,2002,,0,0,0.000076819575,0,6.240559,3.508046,,
AND,2003,,0,0,0.000080288526,0,4.170553,3.7045834,,
AND,2004,,0,0,0.00008412276,0,3.7917151,3.8746126,,
AND,2005,,0,0,0.0000862387,0,6.3877287,3.8998456,,
AND,2006,,0,0,0.000088797686,0,4.244847,3.9388938,,
AND,2007,,0,0,0.00009140372,0,4.251151,3.9337988,,
AND,2008,,0,0,0.00009370595,0,5.620337,3.896008,,
AND,2009,,0,0,0.000095917705,0,7.6479607,3.77511,,
AND,2010,,0,0,0.000098153556,0,5.607729,3.684505,,
AND,2011,,0,0,0.00009777516,0,5.0547557,3.3512278,,
AND,2012,,0,0,0.000102749,0,6.523293,3.1693554,,
AND,2013,,0,0,0.00010904389,0,6.6046453,3.0530906,,
AND,2014,,0,0,0.00011575338,0,6.743381,2.989043,,
AND,2015,,0,0,0.00012227679,0,6.86304,2.948139,,
AND,2016,,0,0,0.00012582859,0,6.871717,2.9053857,,
AND,2017,,0,0,0.00013157535,0,7.081359,2.9467227,,
AND,2018,,0,0,0.00013464199,0,7.2311435,2.9978974,,
AND,2019,,0,0,0.00013845737,0,7.378066,3.0567908,,
AND,2020,,0,0,,,,,,
ARE,1980,,336,0,,,,,,
ARE,1981,,259,0,,,,,,
ARE,1982,,406,0,,,,,,
ARE,1983,,91,0,,,,,,
ARE,1984,,147,0,,,,,,
ARE,1985,,49,0,,,,,,
ARE,1986,,42,0,,,,,,
ARE,1988,,63,0,,,,,,
ARE,1989,,0,0,,,,,,
ARE,1990,,0,0,0.08114732,0,10.979592,655.7328,,
ARE,1991,,0,0,0.08475355,0,12.665452,682.7627,,
ARE,1992,,14,0,0.08867846,0,14.12744,712.00726,,
ARE,1993,,0,0,0.092944995,0,16.464422,743.35077,,
ARE,1994,,0,0,0.09785195,0,19.454557,776.3736,,
ARE,1995,,0,0,0.103865825,0,23.625229,810.41003,,
ARE,1996,,0,0,0.11182001,0,28.724375,844.0947,,
ARE,1997,,0,0,0.12044654,0,35.07849,877.8054,,
ARE,1998,,0,0,0.12861718,0,42.797592,912.1934,,
ARE,1999,,0,0,0.1358567,0,50.219254,947.8634,,
ARE,2000,,0,0,0.14192544,0,56.83263,985.3965,,
ARE,2001,,0,0,0.14585806,0,61.14219,1023.0636,,
ARE,2002,,0,0,0.14866382,0,62.73789,1059.6714,,3
ARE,2003,,0,0,0.15175042,0,63.85394,1096.4078,,
ARE,2004,,0,0,0.15597458,0,66.081604,1134.2191,,
ARE,2005,,0,0,0.16251147,0,71.84945,1174.097,,
ARE,2006,,0,0,0.18676652,0,89.5576,1319.8649,,
ARE,2007,,0,0,0.23755045,0,132.46146,1612.6337,,
ARE,2008,,0,0,0.31458977,0,173.39116,2021.618,,
ARE,2009,,0,0,0.38934943,0,178.8381,2344.0903,,
ARE,2010,,0,0,0.42163125,0,168.14317,2394.1538,,
ARE,2011,,0,0,0.44320655,0,184.85263,2411.2578,,
ARE,2012,,0,0,0.4598882,0,249.15327,2400.924,,
ARE,2013,,0,0,0.47045204,0,443.23135,2373.3445,,
ARE,2014,,0,0,0.4760846,0,194.2361,2338.4932,,
ARE,2015,,0,0,0.48085082,0,200.0226,2305.747,,
ARE,2016,,0,0,0.48956606,0,202.77553,2263.0696,,
ARE,2017,,0,0,0.5009187,0,201.52158,2226.8606,,12
ARE,2018,,0,0,0.5128578,0,201.10435,2204.7424,,
ARE,2019,,0,0,0.5240982,0,203.29845,2180.741,,
ARE,2020,,0,0,,,,,,13
ARG,1980,,224,0,,,,,,
ARG,1981,,14,0,,,,,,
ARG,1982,,84,0,,,,,,
ARG,1983,,182,0,,,,,,
ARG,1984,,7,0,,,,,,
ARG,1985,,14,0,,,,,,
ARG,1986,,0,0,,,,,,
ARG,1987,,0,0,,,,,,
ARG,1988,,0,0,,,,,,
ARG,1989,,0,0,,,,,,
ARG,1990,,0,0,1.5078027,1660.0945,5156.753,7092.7104,,
ARG,1991,,0,0,1.3015058,1544.3666,5359.861,6854.8477,,
ARG,1992,,0,0,1.1063824,1426.5679,5394.1147,6636.898,,
ARG,1993,,0,0,0.9345812,1307.2181,5397.697,6448.022,,2350
ARG,1994,,0,0,0.7994036,1186.8014,5499.325,6298.851,,889
ARG,1995,,0,0,0.7146847,1065.2274,5709.5503,6200.8174,,188
ARG,1996,,0,0,0.65925753,931.68604,5889.9565,6151.465,,474
ARG,1997,,0,0,0.60611075,785.8901,6477.307,6130.5073,,637
ARG,1998,,0,0,0.5609319,644.00653,6927.8657,6121.401,,12
ARG,1999,,0,0,0.52975124,522.86444,6833.344,6106.7817,,
ARG,2000,,0,0,0.51903343,440.08246,6992.8066,6072.0215,,
ARG,2001,,0,0,0.5222578,390.39594,6977.131,6006.7197,,
ARG,2002,,0,0,0.5285838,352.68164,7153.6494,5916.2227,,
ARG,2003,,0,0,0.5368071,321.135,7185.4443,5808.9546,,
ARG,2004,,0,0,0.54585195,289.68842,7153.8696,5693.6387,,
ARG,2005,,0,0,0.55436337,251.87672,7328.543,5579.6724,,
ARG,2006,,0,0,0.55728906,198.4892,7919.3257,5442.091,,
ARG,2007,,0,0,0.5531797,133.17249,8252.138,5272.925,,
ARG,2008,,0,0,0.54535526,69.01507,8418.49,5111.187,,
ARG,2009,,0,0,0.537463,19.778528,8638.933,4994.149,,
ARG,2010,,0,0,0.53342724,0,8522.109,4956.657,,
ARG,2011,,0,0,0.53210765,0,8934.269,5058.7803,,
ARG,2012,,0,0,0.52998716,0,9233.937,5281.4766,,
ARG,2013,,0,0,0.5286387,0,9265.105,5544.8135,,
ARG,2014,,0,0,0.5297483,0,9576.999,5765.7075,,
ARG,2015,,0,0,0.53504884,0,9954.536,5853.3877,,
ARG,2016,,0,0,0.55013776,0,10449.229,5781.7915,,
ARG,2017,,0,0,0.56505936,0,10999.95,5692.883,,
ARG,2018,,0,0,0.5696193,0,11539.661,5643.045,,
ARG,2019,,0,0,0.5678664,0,11633.454,5596.742,,
ARG,2020,,0,0,,,,,,
ARM,1991,,21,0,8.69053,0,1.9496533,1495.1956,,
ARM,1992,,7,0,10.066219,0,1.8591231,1405.2369,,
ARM,1993,,0,0,11.406513,0,1.7864699,1332.1367,,
ARM,1994,,35,0,13.24786,0,2.1334276,1281.5264,,
ARM,1995,,21,0,15.202328,0,3.005632,1259.3013,,
ARM,1996,,0,0,17.64264,89.671646,4.070093,1265.687,,
ARM,1997,,0,0,20.315647,303.6544,5.6772275,1290.4052,,
ARM,1998,,0,0,23.029074,559.3444,7.38875,1323.7573,,25
ARM,1999,,0,0,24.947931,773.90295,10.6959095,1356.0282,,
ARM,2000,,0,0,26.292213,864.2048,15.834644,1378.6669,,
ARM,2001,,0,0,24.481815,777.97687,21.899372,1397.4779,,
ARM,2002,,0,0,19.765396,570.8879,27.472624,1419.4644,,
ARM,2003,,0,0,13.548273,323.07718,31.88358,1440.3644,,
ARM,2004,,0,0,8.031524,113.89763,35.167538,1455.7915,,
ARM,2005,,0,0,5.0500464,21.43494,38.06618,1461.1708,,
ARM,2006,,0,0,3.9187043,13.808646,40.95977,1451.2924,,
ARM,2007,,0,0,2.96246,7.8134704,46.922333,1427.3193,,
ARM,2008,,0,0,2.1923928,3.4925132,53.550278,1394.9037,,
ARM,2009,,0,0,1.6251274,0.87811846,64.72161,1359.0637,,
ARM,2010,,0,0,1.2480956,0,85.29706,1324.1011,,
ARM,2011,,0,0,0.972228,0,112.35193,1263.2972,,
ARM,2012,,0,0,0.7239341,0,129.80846,1164.6361,,
ARM,2013,,0,0,0.52517515,0,165.58264,1054.1833,,
ARM,2014,,0,0,0.40031832,0,161.76479,956.91174,,
ARM,2015,,0,0,0.3507421,0,146.89513,898.96936,,
ARM,2016,,0,0,0.34852454,0,124.50519,873.1816,,
ARM,2017,,0,0,0.35426956,0,126.82312,849.0223,,
ARM,2018,,0,0,0.3604499,0,129.29773,817.54645,,
ARM,2019,,0,0,0.36901894,0,127.89752,778.1901,,
ARM,2020,,0,0,,,,,,
ATG,1980,,0,0,,,,,,
ATG,1981,,0,0,,,,,,
ATG,1982,,0,0,,,,,,
ATG,1983,,0,0,,,,,,
ATG,1984,,0,0,,,,,,
ATG,1985,,0,0,,,,,,
ATG,1986,,0,0,,,,,,
ATG,1987,,0,0,,,,,,
ATG,1988,,0,0,,,,,,
ATG,1989,,0,0,,,,,,
ATG,1990,,0,0,0.0015899013,0,15.696256,20.818546,,
ATG,1991,,0,0,0.0014326775,0,15.923891,20.712685,,
ATG,1992,,0,0,0.0012914663,0,15.950966,20.687006,,
ATG,1993,,0,0,0.0011784371,0,16.243483,20.727335,,
ATG,1994,,0,0,0.0011075264,0,16.304415,20.824245,,
ATG,1995,,0,0,0.0010932273,0,16.222788,20.973719,,
ATG,1996,,0,0,0.0011124441,0,15.953433,21.114431,,
ATG,1997,,0,0,0.0011338973,0,16.591475,21.214771,,
ATG,1998,,0,0,0.0011632809,0,17.168034,21.327318,,
ATG,1999,,0,0,0.0012090291,0,16.322075,21.515339,,
ATG,2000,,0,0,0.0012793491,0,14.970841,21.837103,,
ATG,2001,,0,0,0.0013909283,0,13.832178,22.383984,,
ATG,2002,,0,0,0.0015385192,0,12.421225,23.101402,,
ATG,2003,,0,0,0.0017025145,0,11.070621,23.848896,,
ATG,2004,,0,0,0.0018630532,0,10.333011,24.472168,,
ATG,2005,,0,0,0.0020007084,0,10.164899,24.80878,,
ATG,2006,,0,0,0.0021605596,0,10.608372,24.807974,,
ATG,2007,,0,0,0.0023902059,0,11.35329,24.571507,,
ATG,2008,,0,0,0.0026680196,0,14.239348,24.17902,,
ATG,2010,,0,0,0.0032946493,0,18.951378,23.278795,,
AUS,1980,,0,0,,,,,,2
AUS,1981,,0,0,,,,,,2
AUS,1982,,0,0,,,,,,1
AUS,1983,,0,0,,,,,,4
AUS,1984,,0,0,,,,,,1
AUS,1985,,0,0,,,,,,2
AUS,1986,,7,0,,,,,,
AUS,1987,,0,0,,,,,,1
AUS,1988,,0,0,,,,,,1
AUS,1989,,0,0,,,,,,
AUS,1990,,0,0,0.01537558,0,1158.6019,1430.4984,,
AUS,1991,,0,0,0.014952987,0,1076.6482,1416.0972,,
AUS,1992,,0,0,0.014426901,0,1040.3671,1396.2115,,3
AUS,1993,,0,0,0.013829989,0,988.3936,1373.5801,,5
AUS,1994,,0,0,0.013184941,0,970.4855,1350.5972,,3
AUS,1995,,0,0,0.012567361,0,964.9519,1329.9636,,5
AUS,1996,,0,0,0.011871827,0,1180.8098,1301.4894,,2
AUS,1997,,0,0,0.011170553,0,1357.1382,1259.9199,,2
AUS,1998,,0,0,0.010698311,0,1210.0197,1216.2649,,5
AUS,1999,,0,0,0.010655328,0,1195.757,1182.4094,,4
AUS,2000,,0,0,0.01118332,0,1104.0942,1170.0035,,1
AUS,2001,,0,0,0.012170503,0,996.7928,1171.5183,,2
AUS,2002,,0,0,0.013318042,0,945.9995,1172.19,,5
AUS,2003,,0,0,0.014565649,0,900.99457,1172.8392,,
AUS,2004,,0,0,0.015821518,0,942.99646,1175.0764,,2
AUS,2005,,0,0,0.016981225,0,917.2,1181.1459,,2
AUS,2006,,0,0,0.018252635,0,978.9934,1191.7349,,3
AUS,2007,,0,0,0.019713476,0,1064.9827,1206.165,,3
AUS,2008,,0,0,0.021293463,0,1026.9813,1222.9801,,
AUS,2009,,0,0,0.022942321,0,1085.3138,1241.3044,,
AUS,2010,,0,0,0.024786152,0,1028.7885,1259.8943,,3
AUS,2011,,0,0,0.028640883,0,1032.249,1277.1637,,6
AUS,2012,,0,0,0.03525196,0,1108.8146,1293.495,,5
AUS,2013,,0,0,0.042860776,0,1171.1143,1308.3037,,3
AUS,2014,,0,0,0.04974804,0,1217.3619,1321.5658,,2
AUS,2015,,0,0,0.05428063,0,1291.067,1333.6388,,2
AUS,2016,,0,0,0.055543594,0,1350.7949,1335.7676,,1
AUS,2017,,0,0,0.05548405,0,1410.1378,1337.8672,,3
AUS,2018,,0,0,0.054880887,0,1473.1278,1352.401,,
AUS,2019,,0,0,0.052932423,0,1487.2773,1373.7148,,2
AUS,2020,,0,0,,,,,,
AUT,1980,,7,0,,,,,,
AUT,1981,,0,0,,,,,,
AUT,1982,,0,0,,,,,,
AUT,1983,,0,0,,,,,,
AUT,1984,,0,0,,,,,,
AUT,1985,,0,0,,,,,,
AUT,1986,,0,0,,,,,,
AUT,1987,,0,0,,,,,,
AUT,1988,,0,0,,,,,,
AUT,1989,,0,0,,,,,,
AUT,1990,,0,0,0.007856384,0,639.50415,1133.4965,,2
AUT,1991,,0,0,0.007123984,0,634.411,1100.5679,,
AUT,1992,,0,0,0.006466202,0,582.9502,1066.943,,
AUT,1993,,0,0,0.005877945,0,506.71774,1034.3431,,1
