Year,Number_yaws,polio_cases,cases_guinea_worm,Number_rabies,Number_malaria,Number_hiv,Number_tuberculosis,Number_smallpox,Number_cholera_cases,id,entity_id
1993,,7,0,1.7526449,1284.2754,172.61952,9470.078,,,1,3
1980,,6160,0,,,,,,,2,1
2008,,0,0,0.004979889,0,12.126398,253.76414,,,3,13
2005,,0,0,5.0500464,21.43494,38.06618,1461.1708,,,4,8
1981,,5859,0,,,,,,,5,1
1994,,28,0,1.7383995,979.4008,198.84825,9237.549,,118,6,3
1982,,9730,0,,,,,,,7,1
1995,,28,0,1.7248231,751.8313,229.40805,9036.629,,,8,3
2009,,0,0,0.0049271556,0,13.142864,260.55432,,,9,13
1983,,13937,0,,,,,,,10,1
1996,,8,0,1.7078826,569.6513,249.64938,8853.549,,,11,3
2010,,0,0,0.0049744896,0,15.478553,265.73566,,,12,13
2011,,0,0,0.0050527127,0,14.891361,266.15173,,,13,13
2006,,0,0,3.9187043,13.808646,40.95977,1451.2924,,,14,8
1984,,3864,0,,,,,,,15,1
2012,,0,0,0.0051202443,0,15.421727,264.768,,,16,13
1997,,0,0,1.6842893,393.7096,285.9304,8666.493,,,17,3
2007,,0,0,2.96246,7.8134704,46.922333,1427.3193,,,18,8
2008,,0,0,2.1923928,3.4925132,53.550278,1394.9037,,,19,8
2013,,0,0,0.0052067707,0,15.7223835,263.46265,,,20,13
1985,,13867,0,,,,,,,21,1
2014,,0,0,0.0053196037,0,15.578448,261.80295,,,22,13
1998,,0,0,1.6557883,240.33974,325.85864,8482.409,,,23,3
2015,,0,0,0.005462797,0,15.38592,259.16415,,8,24,13
1986,,12901,0,,,,,,,25,1
2009,,0,0,1.6251274,0.87811846,64.72161,1359.0637,,,26,8
1999,,11,0,1.628756,127.375824,354.126,8306.235,,,27,3
1987,,4396,0,,,,,,,28,1
2000,,0,0,1.6059587,74.05169,413.72794,8143.844,,,29,3
2016,,0,0,0.0056065065,0,15.019904,254.4455,,,30,13
2010,,0,0,1.2480956,0,85.29706,1324.1011,,,31,8
2017,,0,0,0.0056835916,0,15.094636,250.88515,,,32,13
2011,,0,0,0.972228,0,112.35193,1263.2972,,,33,8
1988,,2149,0,,,,,,,34,1
2001,,2,0,1.5867167,58.935696,458.6117,7989.962,,,35,3
2012,,0,0,0.7239341,0,129.80846,1164.6361,,,36,8
1989,,385,0,,,,,,,37,1
2002,,0,0,1.567329,46.90413,485.5604,7838.249,,,38,3
2013,,0,0,0.52517515,0,165.58264,1054.1833,,,39,8
2014,,0,0,0.40031832,0,161.76479,956.91174,,,40,8
2018,,0,0,0.005743729,0,15.699668,247.73611,,,41,13
2019,,0,0,0.0057985913,0,15.666963,243.05339,,,42,13
2020,,0,0,,,,,,,43,13
1980,,455,0,,,,,,,44,14
1981,,686,0,,,,,,,45,14
1982,,2233,0,,,,,,,46,14
1983,,896,0,,,,,,,47,14
2003,,0,0,1.5499105,37.648167,543.68384,7691.8486,,,48,3
1984,,896,0,,,,,,,49,14
1985,,623,0,,,,,,,50,14
2004,,0,0,1.5327456,30.810043,589.6671,7555.5605,,,51,3
1986,,1106,0,,,,,,,52,14
1987,,714,0,,,,,,523,53,14
2005,,0,0,1.516881,25.98132,619.7907,7431.977,,0,54,3
1988,,3780,0,,,,,,571,55,14
2006,,0,0,1.4968573,21.855423,659.29315,7308.8574,,0,56,3
1989,,3143,0,,,,,,94,57,14
2007,,0,0,1.4696891,17.753695,727.65765,7181.0386,,,58,3
1990,,2618,0,1309.1222,3897611.8,0,386013.84,,82,59,14
1991,,2009,0,1465.3674,3355832.8,0,380234.53,,8,60,14
2008,,0,0,1.4403008,14.199883,757.0938,7062.9556,,,61,3
2009,,0,0,1.415227,11.758157,781.954,6972.407,,,62,3
1992,,1463,0,1583.1517,2834385.2,0,374052.75,,479,63,14
2010,,0,0,1.4001803,11.032654,828.42773,6927.125,,,64,3
1993,,1631,0,1665.8058,2363462.5,0,367719.3,,78,65,14
2011,,0,0,1.3923714,11.914819,836.8864,6927.1875,,,66,3
1994,,2023,0,1715.1091,1970568,67.82152,361107.53,,562,67,14
2012,,0,0,1.3844948,13.567051,883.8523,6949.8745,,,68,3
1995,,343,0,1734.7075,1685329.6,31.498789,354307.16,,2297,69,14
2013,,0,0,1.376196,15.501364,839.57666,6980.994,,,70,3
1996,,108,0,1684.6005,1466432.5,50.0255,347056.34,,418,71,14
1997,,192,0,1548.4496,1262366.8,64.813446,339280.72,,1959,72,14
2014,,0,0,1.3679993,17.193447,840.17163,7004.667,,,73,3
1990,,336,0,2.145772,1219845.8,87.665596,16303.112,,,74,1
2015,,0,0,1.3615261,18.083479,749.411,7003.6787,,,75,3
2016,,0,0,1.3521076,12.584504,632.9256,6930.4746,,,76,3
1998,,332,0,1366.4799,1087575.8,95.272705,331402.78,,1067,77,14
1991,,14,0,2.3209748,1132781.5,103.77359,17582.254,,,78,1
1999,,436,0,1180.5101,957208.5,130.31166,323877.12,,3440,79,14
2017,,0,0,1.3470328,6.3211403,649.5632,6873.661,,,80,3
2000,,220,0,1033.1205,887203.4,188.34357,317146.47,,1021,81,14
2018,,0,0,1.3475577,6.8618975,664.2919,6889.4663,,,82,3
2001,,0,0,911.6814,855652.75,263.1729,311337.72,,,83,14
1995,,0,0,3.126361,725758.3,143.54527,22163.428,,19903,84,1
2002,,0,0,783.8528,827420.7,358.79233,306050.72,,,85,14
1997,,21,0,3.446122,605853.06,160.59525,23140.863,,4170,86,1
2019,,0,0,1.3461609,10.671482,675.619,6921.8545,,,87,3
1998,,65,0,3.5570247,547045.4,164.60725,23179.447,,10000,88,1
2020,,0,0,,,,,,,89,3
2003,,0,0,662.91003,798777.5,439.18604,300980.38,,,90,14
1999,,0,0,0.000071659604,0,3.403286,3.752964,,,91,4
1999,,167,0,3.607037,502898.88,168.99359,22944.182,,24639,92,1
2000,,0,0,0.00007323388,0,3.2728791,3.6276813,,,93,4
2000,,133,0,3.6362348,491614.72,177.66675,22879.678,,4330,94,1
2004,,0,0,562.57874,765808.56,510.30527,295866.47,,,95,14
2001,,22,0,3.7118323,511626.2,192.51457,23330.46,,4499,96,1
2015,,0,0,0.3507421,0,146.89513,898.96936,,,97,8
2001,,0,0,0.00007490333,0,3.2626088,3.5448394,,,98,4
2005,,0,0,496.23456,724349.25,579.2955,290337.34,,,99,14
2002,,11,0,3.841707,546030.6,208.17296,24148.05,,3,100,1
2006,,20,0,451.84375,668152.94,623.5576,284089.44,,,101,14
2007,,0,0,408.7992,597840.25,669.7744,277240.62,,,102,14
2016,,0,0,0.34852454,0,124.50519,873.1816,,,103,8
2003,,9,0,3.914814,574740.3,220.20476,24519.38,,41,104,1
2002,,0,0,0.000076819575,0,6.240559,3.508046,,,105,4
2008,,0,0,369.18692,519612.75,720.3843,270208.56,,,106,14
2004,,4,0,3.9608393,601074,233.17265,24681.549,,,107,1
2003,,0,0,0.000080288526,0,4.170553,3.7045834,,,108,4
2004,,0,0,0.00008412276,0,3.7917151,3.8746126,,,109,4
2009,,0,0,335.1646,440074.25,737.87836,263415.38,,,110,14
2005,,0,0,0.0000862387,0,6.3877287,3.8998456,,,111,4
2017,,0,0,0.35426956,0,126.82312,849.0223,,,112,8
2005,,10,0,3.9896567,625202.75,244.33427,24736.137,,33,113,1
2006,,0,0,0.000088797686,0,4.244847,3.9388938,,,114,4
2018,,0,0,0.3604499,0,129.29773,817.54645,,,115,8
2006,,34,0,3.929627,605759,252.45116,24318.215,,,116,1
2010,,0,0,309.00803,366269.1,754.13763,257248.53,,,117,14
2019,,0,0,0.36901894,0,127.89752,778.1901,,,118,8
2007,,19,0,3.826987,540832.3,268.99326,23911.043,,,119,1
2011,,0,0,286.92392,290096.6,695.5441,251400.52,,,120,14
2008,,34,0,3.7016175,453018.84,282.07034,23510.375,,4384,121,1
2012,,0,0,264.22125,206261.03,700.9277,245452.64,,,122,14
2020,,0,0,,,,,,,123,8
2007,,0,0,0.00009140372,0,4.251151,3.9337988,,,124,4
2013,,0,0,242.6958,126956.34,673.8707,239747.97,,,125,14
1980,,0,0,,,,,,2,126,9
2009,,42,0,3.568791,368269,290.23172,23083.846,,662,127,1
2008,,0,0,0.00009370595,0,5.620337,3.896008,,,128,4
1981,,0,0,,,,,,2,129,9
2009,,0,0,0.000095917705,0,7.6479607,3.77511,,,130,4
2014,,0,0,224.17964,65245.86,661.0987,234641.28,,,131,14
2010,,0,0,0.000098153556,0,5.607729,3.684505,,,132,4
2010,,33,0,3.4966226,324376.8,301.3223,22966.498,,2369,133,1
2015,,0,0,210.78755,35057.75,639.71985,230603.25,,,134,14
2011,,0,0,0.00009777516,0,5.0547557,3.3512278,,,135,4
2011,,90,0,3.4693305,313173.53,330.21848,23015.777,,3733,136,1
1982,,0,0,,,,,,1,137,9
2012,,0,0,0.000102749,0,6.523293,3.1693554,,,138,4
2012,,51,0,3.4304512,303789.6,459.22284,23064.814,,12,139,1
1983,,0,0,,,,,,4,140,9
2016,,0,0,201.96909,28362.418,634.1214,228013.83,,,141,14
2013,,19,0,3.3869221,297651.5,525.6841,23117.854,,3957,142,1
1984,,0,0,,,,,,1,143,9
2017,,0,0,194.82874,23437.12,638.5542,225577.66,,,144,14
2014,,31,0,3.3300812,294260.03,592.7875,23040.713,,45481,145,1
2013,,0,0,0.00010904389,0,6.6046453,3.0530906,,,146,4
2018,,0,0,187.57178,16841.11,640.51056,221509.11,,566,147,14
1985,,0,0,,,,,,2,148,9
2014,,0,0,0.00011575338,0,6.743381,2.989043,,,149,4
1986,,7,0,,,,,,,150,9
2019,,0,0,180.40259,9460.737,641.7565,215988.44,,503,151,14
2015,,0,0,0.00012227679,0,6.86304,2.948139,,,152,4
1987,,0,0,,,,,,1,153,9
2015,,22,0,3.3108234,298038.5,669.6386,23044.637,,58064,154,1
2020,,0,0,,,,,,212,155,14
2016,,0,0,0.00012582859,0,6.871717,2.9053857,,,156,4
1988,,0,0,,,,,,1,157,9
2016,,14,0,3.3374228,345016.8,718.0141,23112.873,,677,158,1
1980,,0,0,,,,,,,159,15
2017,,0,0,0.00013157535,0,7.081359,2.9467227,,,160,4
2017,,16,0,3.379239,427513.62,765.24567,23483.064,,33,161,1
1989,,0,0,,,,,,,162,9
2018,,23,0,3.3948505,629438.06,810.9223,23930.367,,,163,1
1981,,0,0,,,,,,,164,15
2018,,0,0,0.00013464199,0,7.2311435,2.9978974,,,165,4
2019,,32,0,3.387213,998712.1,849.66254,23717.326,,2,166,1
1982,,0,0,,,,,,,167,15
2019,,0,0,0.00013845737,0,7.378066,3.0567908,,,168,4
1990,,0,0,0.01537558,0,1158.6019,1430.4984,,,169,9
1991,,0,0,0.014952987,0,1076.6482,1416.0972,,,170,9
1983,,0,0,,,,,,,171,15
2020,,404,0,,,,,,,172,1
2020,,0,0,,,,,,,173,4
1992,,0,0,0.014426901,0,1040.3671,1396.2115,,3,174,9
1984,,0,0,,,,,,,175,15
1980,,224,0,,,,,,,176,5
1993,,0,0,0.013829989,0,988.3936,1373.5801,,5,177,9
1985,,0,0,,,,,,,178,15
1981,,84,0,,,,,,,179,5
1994,,0,0,0.013184941,0,970.4855,1350.5972,,3,180,9
1986,,0,0,,,,,,,181,15
1987,,0,0,,,,,,,182,15
1982,,42,0,,,,,,,183,5
1980,,7,0,,,,,,,184,2
1988,,0,0,,,,,,,185,15
1983,,0,0,,,,,,,186,5
1981,,7,0,,,,,,,187,2
1995,,0,0,0.012567361,0,964.9519,1329.9636,,5,188,9
1984,,21,0,,,,,,,189,5
1982,,0,0,,,,,,,190,2
1996,,0,0,0.011871827,0,1180.8098,1301.4894,,2,191,9
1983,,0,0,,,,,,,192,2
1997,,0,0,0.011170553,0,1357.1382,1259.9199,,2,193,9
1984,,0,0,,,,,,,194,2
1985,,98,0,,,,,,,195,5
1998,,0,0,0.010698311,0,1210.0197,1216.2649,,5,196,9
1986,,259,0,,,,,,,197,5
1999,,0,0,0.010655328,0,1195.757,1182.4094,,4,198,9
1985,,7,0,,,,,,,199,2
1987,,105,0,,,,,,16222,200,5
2000,,0,0,0.01118332,0,1104.0942,1170.0035,,1,201,9
1988,,0,0,,,,,,15500,202,5
1986,,0,0,,,,,,,203,2
1989,,0,0,,,,,,17601,204,5
1987,,0,0,,,,,,,205,2
1991,,0,0,15.457628,3509191.5,3828.9988,31776.87,,8590,206,5
2001,,0,0,0.012170503,0,996.7928,1171.5183,,2,207,9
1988,,0,0,,,,,,,208,2
1992,,0,0,15.613657,3633420.5,5121.842,32864.617,,3608,209,5
2002,,0,0,0.013318042,0,945.9995,1172.19,,5,210,9
1989,,0,0,,,,,,,211,2
2003,,0,0,0.014565649,0,900.99457,1172.8392,,,212,9
2004,,0,0,0.015821518,0,942.99646,1175.0764,,2,213,9
1993,,1043,0,15.721999,3761338.8,6623.8984,33963.746,,,214,5
1990,,0,0,0.024380464,0,3.1844528,216.81024,,,215,2
2005,,0,0,0.016981225,0,917.2,1181.1459,,2,216,9
1991,,7,0,0.024485007,0,3.4546475,211.27489,,,217,2
1992,,0,0,0.02434144,0,3.6710289,205.64603,,,218,2
2006,,0,0,0.018252635,0,978.9934,1191.7349,,3,219,9
1993,,7,0,0.024078405,0,3.7128205,200.16772,,,220,2
2007,,0,0,0.019713476,0,1064.9827,1206.165,,3,221,9
1994,,0,0,0.023829417,0,3.6294198,195.05692,,626,222,2
2008,,0,0,0.021293463,0,1026.9813,1222.9801,,,223,9
2009,,0,0,0.022942321,0,1085.3138,1241.3044,,,224,9
2010,,0,0,0.024786152,0,1028.7885,1259.8943,,3,225,9
1995,,0,0,0.023583047,0,3.6543012,190.382,,,226,2
1996,,153,0,0.023025803,0,3.6918812,186.26813,,,227,2
1997,,0,0,0.02228408,0,3.6656888,187.33731,,,228,2
1989,,0,0,,,,,,,229,15
1998,,0,0,0.021406677,0,3.3509865,188.06995,,,230,2
2011,,0,0,0.028640883,0,1032.249,1277.1637,,6,231,9
1990,,0,0,0.006886444,0,87.559006,31.56529,,,232,15
2012,,0,0,0.03525196,0,1108.8146,1293.495,,5,233,9
1991,,0,0,0.0064080977,0,89.20039,30.769571,,,234,15
1999,,0,0,0.020316478,0,3.0105524,178.31313,,,235,2
1992,,0,0,0.005912091,0,88.65066,29.953423,,,236,15
2013,,0,0,0.042860776,0,1171.1143,1308.3037,,3,237,9
1993,,0,0,0.005465034,0,86.76474,29.127693,,,238,15
2000,,0,0,0.019605858,0,2.8395562,169.36588,,,239,2
2014,,0,0,0.04974804,0,1217.3619,1321.5658,,2,240,9
2001,,0,0,0.018726408,0,3.0764673,164.97337,,,241,2
2015,,0,0,0.05428063,0,1291.067,1333.6388,,2,242,9
2002,,0,0,0.016977258,0,3.2796018,160.23256,,,243,2
2003,,0,0,0.014738346,0,3.499513,155.23741,,,244,2
1994,,0,0,0.005141724,0,83.48273,28.31678,,,245,15
2004,,0,0,0.012657572,0,3.3179362,150.11584,,,246,2
2016,,0,0,0.055543594,0,1350.7949,1335.7676,,1,247,9
1995,,0,0,0.00502119,0,80.90013,27.549547,,,248,15
2017,,0,0,0.05548405,0,1410.1378,1337.8672,,3,249,9
1996,,0,0,0.0049421377,0,79.4604,26.742962,,,250,15
2018,,0,0,0.054880887,0,1473.1278,1352.401,,,251,9
1997,,0,0,0.0047510755,0,78.08847,25.870117,,,252,15
2005,,0,0,0.011491771,0,2.9770734,145.20651,,,253,2
1998,,0,0,0.0045356406,0,76.38534,25.040598,,,254,15
1994,,378,0,15.794446,3894744,8285.543,35081.34,,3443,255,5
2019,,0,0,0.052932423,0,1487.2773,1373.7148,,2,256,9
1995,,1064,0,15.855254,4036519.2,10038.777,36252.2,,3295,257,5
1999,,0,0,0.004381211,0,75.01343,24.362495,,,258,15
2020,,0,0,,,,,,,259,9
1996,,90,0,15.808929,4185122,11805.031,37436.49,,1306,260,5
2000,,0,0,0.004370021,0,73.455345,23.93168,,,261,15
1997,,17,0,15.596138,4338616,13511.703,38623.605,,,262,5
1980,,7,0,,,,,,,263,10
1998,,8,0,15.278044,4495673,15092.233,39828.668,,,264,5
1981,,0,0,,,,,,,265,10
2001,,0,0,0.004485768,0,70.618996,23.682882,,,266,15
1982,,0,0,,,,,,,267,10
2002,,0,0,0.004645394,0,69.68538,23.48129,,,268,15
1983,,0,0,,,,,,,269,10
2003,,0,0,0.004838463,0,82.07176,23.333107,,,270,15
1999,,1224,0,14.939104,4658156,16503.838,41103.375,,,271,5
2000,,128,0,14.682077,4828811,17736.984,42523.562,,,272,5
1984,,0,0,,,,,,,273,10
2001,,2,0,14.48669,5013270.5,18791.828,44091.53,,,274,5
2004,,0,0,0.0050608492,0,85.58993,23.260622,,,275,15
1985,,0,0,,,,,,,276,10
2002,,0,0,14.274555,5212388.5,19714.244,45769.617,,,277,5
2005,,0,0,0.005320478,0,74.72339,23.29512,,,278,15
2003,,0,0,14.057841,5418972,20583.143,47526.805,,,279,5
2006,,0,0,0.0057264194,0,66.83081,23.43769,,,280,15
2007,,0,0,0.0063111424,0,62.27884,23.631414,,,281,15
2004,,0,0,13.846846,5623625.5,21474.666,49314.883,,,282,5
2008,,0,0,0.0069631995,0,59.63304,23.84071,,,283,15
2010,,0,0,0.00796433,0,62.623695,24.165464,,,284,15
2005,,11,0,13.6558,5815446,22352.492,51101.008,,0,285,5
2006,,2,0,13.443765,5747149,23393.164,52816.234,,67257,286,5
1991,,0,0,17.341595,0,231.02837,5559.856,,,287,16
2007,,9,0,13.163569,5302657,24697.863,54433.145,,18422,288,5
1992,,7,0,18.169592,0,209.84709,5614.819,,,289,16
2008,,32,0,12.828784,4692401.5,26164.584,55948.562,,10511,290,5
1993,,7,0,18.837755,0,212.99562,5657.9,,,291,16
2006,,0,0,0.011053416,0,2.705119,140.29532,,,292,2
2009,,32,0,12.453303,4166695.8,27782.988,57351.56,,2019,293,5
2007,,0,0,0.0106599545,0,2.559985,135.0837,,,294,2
2010,,37,0,12.063908,4021064.8,29676.906,58637.992,,1484,295,5
2008,,0,0,0.010366663,0,2.4835765,129.90475,,,296,2
1994,,14,0,19.221846,0,215.19698,5685.8037,,3,297,16
2009,,0,0,0.0102469465,0,2.385676,125.13413,,,298,2
1995,,0,0,19.401659,0,230.5945,5696.899,,3,299,16
2011,,6,0,11.604606,4194396,31732.162,59478.727,,1810,300,5
2010,,0,0,0.0103962235,0,2.3353004,121.22562,,,301,2
2012,,0,0,11.039229,4403571.5,33387.836,59712.68,,1215,302,5
1996,,0,0,19.429785,0,261.8729,5703.508,,,303,16
2013,,0,0,10.417461,4646445.5,34408.105,59642.93,,6655,304,5
1997,,0,0,19.212147,0,304.66144,5707.8975,,,305,16
2014,,0,0,9.800037,4920422,35154.387,59630.53,,213,306,5
1998,,0,0,18.898495,0,368.11362,5707.5923,,,307,16
2011,,0,0,0.01075592,0,2.4660115,117.806366,,,308,2
1999,,0,0,18.532574,0,438.31775,5697.0205,,,309,16
2012,,0,0,0.01119073,0,2.3746042,114.17741,,,310,2
2015,,0,0,9.250467,5221958,36338.656,60086.812,,,311,5
2000,,0,0,18.326517,0,518.41815,5672.1216,,,312,16
2013,,0,0,0.011662849,0,2.2445052,110.22334,,,313,2
2016,,0,0,8.74512,5841198,38198.617,60953.48,,78,314,5
2014,,0,0,0.012138092,0,2.4224427,106.195076,,,315,2
2015,,0,0,0.012588923,0,2.6274543,102.467834,,,316,2
2017,,0,0,8.358166,6407805.5,40191.227,61982.406,,828,317,5
2001,,0,0,18.36031,0,587.90625,5622.7124,,,318,16
2018,,0,1,8.120007,6540698,42326.47,62715.062,,1546,319,5
1986,,0,0,,,,,,,320,10
2002,,0,0,18.5995,0,649.3107,5543.7534,,,321,16
2016,,0,0,0.013460109,0,2.661325,97.58413,,,322,2
2019,,153,1,7.964379,6475958,43510.58,62933.6,,,323,5
2003,,0,0,19.029427,0,692.7518,5455.638,,,324,16
1987,,0,0,,,,,,,325,10
2004,,0,0,19.691963,0,721.7441,5371.1455,,,326,16
1988,,0,0,,,,,,,327,10
2017,,0,0,0.014326912,0,2.6962876,94.34844,,,328,2
2005,,0,0,20.26118,0,714.4496,5295.096,,,329,16
1989,,0,0,,,,,,,330,10
2018,,0,0,0.0145095,0,2.728043,94.39895,,,331,2
2020,,6,1,,,,,,,332,5
1990,,0,0,0.007856384,0,639.50415,1133.4965,,2,333,10
2019,,0,0,0.014224869,0,2.6898444,95.83574,,,334,2
1980,,0,0,,,,,,,335,6
2006,,0,0,20.782568,0,674.9848,5228.134,,,336,16
2020,,0,0,,,,,,,337,2
1981,,0,0,,,,,,,338,6
